UserId,ContinentId,RegionId,CountryId,CityId
1,4,15,109,4888
2,5,20,146,6722
3,3,10,64,2256
4,5,21,162,7645
5,5,21,159,7517
6,2,9,55,2225
7,3,14,102,3298
8,3,11,74,2466
9,3,12,83,2549
10,5,18,138,6335
11,4,15,109,3877
12,3,12,86,2566
13,5,19,141,6507
14,2,9,60,2250
15,4,16,111,5471
16,2,8,50,621
17,4,15,109,3772
18,5,18,138,6334
19,1,2,5,10
20,4,16,117,5683
21,2,7,44,287
22,5,18,138,6354
23,4,15,109,4772
24,1,2,6,20
25,1,4,19,85
26,3,12,76,2486
27,3,10,65,2261
28,2,8,48,409
29,4,16,113,5477
30,4,16,117,5683
31,3,12,79,2524
32,4,16,119,5686
33,4,16,115,5536
34,1,2,12,43
35,3,10,63,2254
36,5,18,137,6331
37,3,14,99,2996
38,5,20,155,7005
39,1,5,25,215
40,2,6,39,249
41,4,16,111,5469
42,1,4,18,84
43,4,15,109,4704
44,2,7,46,292
45,2,8,49,584
46,1,3,14,65
47,2,6,38,245
48,5,20,146,6722
49,2,8,50,600
50,4,15,109,4840
51,4,15,109,5177
52,4,16,111,5471
53,4,15,109,5030
54,5,20,154,6974
55,3,12,88,2596
56,1,5,28,223
57,4,16,116,5682
58,2,8,51,1698
59,4,16,111,5468
60,2,7,42,259
61,2,6,38,244
62,4,15,109,3824
63,5,17,124,5795
64,2,6,34,232
65,2,7,44,288
66,4,15,109,5160
67,2,9,55,2225
68,2,9,55,2219
69,4,15,109,4404
70,4,16,116,5681
71,1,1,3,4
72,5,17,127,6064
73,5,19,141,6445
74,2,7,43,278
75,5,20,148,6738
76,2,7,44,288
77,1,2,5,10
78,4,15,109,5014
79,4,15,109,5222
80,4,15,109,4511
81,5,20,153,6972
82,1,4,17,82
83,5,20,146,6725
84,5,19,144,6598
85,1,4,22,186
86,1,5,28,224
87,1,2,7,25
88,1,2,4,6
89,4,16,110,5461
90,3,14,105,3495
91,3,14,100,2999
92,1,5,23,213
93,3,10,67,2264
94,3,11,72,2422
95,1,5,24,214
96,3,14,99,2996
97,5,21,162,7899
98,2,8,50,598
99,2,8,49,584
100,1,4,18,84
101,4,16,115,5672
102,1,1,1,2
103,4,15,109,4780
104,2,7,46,294
105,1,2,9,31
106,5,18,138,6341
107,3,11,72,2422
108,4,15,109,5037
109,3,10,64,2257
110,3,10,63,2254
111,1,3,15,69
112,3,12,81,2542
113,5,19,145,6700
114,3,12,76,2481
115,1,4,19,85
116,5,17,126,6041
117,2,8,49,584
118,3,14,104,3427
119,1,1,1,1
120,2,6,34,234
121,2,7,45,290
122,4,15,109,4425
123,5,17,135,6250
124,3,11,74,2460
125,1,1,2,3
126,4,15,109,5449
127,5,18,137,6331
128,4,15,109,5187
129,5,19,144,6593
130,5,19,142,6514
131,3,13,90,2642
132,5,18,137,6331
133,4,16,114,5478
134,5,18,136,6328
135,3,13,95,2938
136,3,10,65,2261
137,4,16,118,5684
138,2,6,30,227
139,2,7,46,294
140,5,17,122,5746
141,1,4,19,85
142,5,20,155,7008
143,4,15,109,4859
144,4,15,109,3769
145,4,16,110,5465
146,4,15,109,4562
147,4,15,109,4955
148,3,12,78,2515
149,2,8,51,1307
150,4,16,114,5478
151,1,2,10,37
152,1,2,8,30
153,1,5,23,213
154,1,3,14,61
155,3,14,107,3642
156,1,3,16,78
157,4,16,113,5477
158,5,18,136,6329
159,1,5,28,224
160,3,10,64,2260
161,3,12,82,2544
162,1,2,4,6
163,5,18,139,6399
164,1,1,2,3
165,3,14,101,3199
166,2,9,58,2246
167,4,15,109,5216
168,3,10,66,2262
169,1,2,12,43
170,4,15,109,5416
